Date,"Seabed mining","Anglerfish"
2024-05-11,16,1675
2024-05-12,8,1924
2024-05-13,29,1857
2024-05-14,28,1512
2024-05-15,32,1650
2024-05-16,31,1641
2024-05-17,18,1759
2024-05-18,18,2117
2024-05-19,22,3229
2024-05-20,19,4413
2024-05-21,25,7081
2024-05-22,22,4048
2024-05-23,17,2844
2024-05-24,13,1913
2024-05-25,11,1689
2024-05-26,6,1888
2024-05-27,23,2070
2024-05-28,13,2142
2024-05-29,28,1619
2024-05-30,24,1786
2024-05-31,16,2528
2024-06-01,21,1692
2024-06-02,19,1563
2024-06-03,27,1634
2024-06-04,25,1680
2024-06-05,9,1956
2024-06-06,19,1487
2024-06-07,29,1634
2024-06-08,27,2495
2024-06-09,32,2913
2024-06-10,32,2669
2024-06-11,28,2036
2024-06-12,31,1586
2024-06-13,27,1739
2024-06-14,35,1526
2024-06-15,25,1440
2024-06-16,11,1548
2024-06-17,24,1518
2024-06-18,23,1272
2024-06-19,28,1273
2024-06-20,20,1213
2024-06-21,19,1139
2024-06-22,25,1154
2024-06-23,40,2074
2024-06-24,48,4843
2024-06-25,24,1375
2024-06-26,21,1421
2024-06-27,26,1409
2024-06-28,17,1346
2024-06-29,14,1324
2024-06-30,13,1298
2024-07-01,19,1398
2024-07-02,17,1205
2024-07-03,20,1503
2024-07-04,29,1262
2024-07-05,21,1163
2024-07-06,12,1274
2024-07-07,45,1341
2024-07-08,24,1295
2024-07-09,25,1300
2024-07-10,17,1373
2024-07-11,26,1439
2024-07-12,15,1486
2024-07-13,17,1400
2024-07-14,16,1282
2024-07-15,19,1113
2024-07-16,18,1180
2024-07-17,12,1313
2024-07-18,14,1314
2024-07-19,26,1319
2024-07-20,20,1433
2024-07-21,11,1577
2024-07-22,22,1429
2024-07-23,22,1781
2024-07-24,27,1393
2024-07-25,25,1525
2024-07-26,13,1320
2024-07-27,31,1199
2024-07-28,10,1305
2024-07-29,30,1294
2024-07-30,39,1260
2024-07-31,26,1201
2024-08-01,19,1122
2024-08-02,18,1133
2024-08-03,16,1257
2024-08-04,26,1260
2024-08-05,27,1170
2024-08-06,23,1258
2024-08-07,35,1154
2024-08-08,16,1518
2024-08-09,22,1352
2024-08-10,19,1572
2024-08-11,15,2812
2024-08-12,20,6324
2024-08-13,26,3451
2024-08-14,14,3236
2024-08-15,16,2747
2024-08-16,29,2735
2024-08-17,13,2326
2024-08-18,24,2077
2024-08-19,21,1819
2024-08-20,22,1659
2024-08-21,16,1418
2024-08-22,23,1486
2024-08-23,10,1409
2024-08-24,23,1344
2024-08-25,17,1342
2024-08-26,23,1410
2024-08-27,26,1286
2024-08-28,21,1201
2024-08-29,20,1310
2024-08-30,15,1308
2024-08-31,13,1244
2024-09-01,17,1305
2024-09-02,10,1271
2024-09-03,28,1387
2024-09-04,17,1275
2024-09-05,22,1251
2024-09-06,22,1248
2024-09-07,9,1263
2024-09-08,17,1241
2024-09-09,15,1831
2024-09-10,23,1598
2024-09-11,18,1262
2024-09-12,13,1365
2024-09-13,16,1346
2024-09-14,5,1233
2024-09-15,8,1314
2024-09-16,22,1347
2024-09-17,23,1329
2024-09-18,25,1283
2024-09-19,22,1383
2024-09-20,21,1367
2024-09-21,8,1291
2024-09-22,14,1408
2024-09-23,20,1320
2024-09-24,25,1382
2024-09-25,23,1360
2024-09-26,14,1620
2024-09-27,16,1470
2024-09-28,12,1312
2024-09-29,14,1242
2024-09-30,18,1425
2024-10-01,24,1274
2024-10-02,22,1640
2024-10-03,27,2537
2024-10-04,14,2322
2024-10-05,19,2241
2024-10-06,35,1866
2024-10-07,28,1781
2024-10-08,18,1581
2024-10-09,21,1574
2024-10-10,23,1449
2024-10-11,15,1458
2024-10-12,20,1423
2024-10-13,11,1415
2024-10-14,19,1343
2024-10-15,19,1399
2024-10-16,17,1465
2024-10-17,25,1417
2024-10-18,14,1396
2024-10-19,13,1374
2024-10-20,18,1533
2024-10-21,20,1547
2024-10-22,24,1487
2024-10-23,19,1336
2024-10-24,20,1381
2024-10-25,14,1294
2024-10-26,22,1209
2024-10-27,11,1376
2024-10-28,15,1431
2024-10-29,12,1411
2024-10-30,22,1436
2024-10-31,14,1614
2024-11-01,23,1455
2024-11-02,13,1289
2024-11-03,24,1498
2024-11-04,30,1530
2024-11-05,20,1462
2024-11-06,15,1308
2024-11-07,13,1344
2024-11-08,20,1250
2024-11-09,17,1150
2024-11-10,13,4312
2024-11-11,9,2990
2024-11-12,17,1285
2024-11-13,17,1298
2024-11-14,13,1351
2024-11-15,9,1494
2024-11-16,11,1265
2024-11-17,22,1318
2024-11-18,13,1432
2024-11-19,23,1351
2024-11-20,19,1281
2024-11-21,23,1379
2024-11-22,22,1205
2024-11-23,14,1179
2024-11-24,15,1193
2024-11-25,14,1399
2024-11-26,16,1189
2024-11-27,17,1064
2024-11-28,21,1417
2024-11-29,15,1059
2024-11-30,11,1159
2024-12-01,15,1400
2024-12-02,35,2591
2024-12-03,28,2449
2024-12-04,22,1824
2024-12-05,21,1367
2024-12-06,17,1255
2024-12-07,17,1132
2024-12-08,11,1045
2024-12-09,25,1150
2024-12-10,20,1167
2024-12-11,23,1164
2024-12-12,30,1186
2024-12-13,11,1330
2024-12-14,10,1263
2024-12-15,16,1208
2024-12-16,12,1310
2024-12-17,15,1235
2024-12-18,31,1095
2024-12-19,18,1377
2024-12-20,12,1101
2024-12-21,15,1037
2024-12-22,7,1102
2024-12-23,29,1059
2024-12-24,21,1056
2024-12-25,17,1139
2024-12-26,10,1144
2024-12-27,10,1225
2024-12-28,14,1566
2024-12-29,20,1502
2024-12-30,22,1486
2024-12-31,28,1385
2025-01-01,39,1248
2025-01-02,52,1201
2025-01-03,38,1232
2025-01-04,17,1285
2025-01-05,19,1179
2025-01-06,29,1205
2025-01-07,24,1214
2025-01-08,21,1190
2025-01-09,19,1171
2025-01-10,14,1203
2025-01-11,15,1129
2025-01-12,18,1490
2025-01-13,14,1365
2025-01-14,26,1213
2025-01-15,20,1336
2025-01-16,24,1416
2025-01-17,19,1457
2025-01-18,17,1412
2025-01-19,17,1558
2025-01-20,24,1466
2025-01-21,16,1362
2025-01-22,22,1283
2025-01-23,16,1537
2025-01-24,21,1332
2025-01-25,23,1738
2025-01-26,18,1603
2025-01-27,27,1486
2025-01-28,23,1446
2025-01-29,27,1595
2025-01-30,20,1650
2025-01-31,12,1734
2025-02-01,12,1429
2025-02-02,17,1168
2025-02-03,21,1134
2025-02-04,23,1250
2025-02-05,22,1241
2025-02-06,18,1561
2025-02-07,24,12845
2025-02-08,16,18029
2025-02-09,20,13213
2025-02-10,14,10861
2025-02-11,23,15267
2025-02-12,22,19820
2025-02-13,17,28028
2025-02-14,18,30263
2025-02-15,19,38444
2025-02-16,16,34278
2025-02-17,32,26988
2025-02-18,27,18149
2025-02-19,59,16194
2025-02-20,44,13670
