Date,"Polar bear","Great white shark","Blue whale","Anglerfish"
2023-12-18,3879,2913,3450,1320
2023-12-19,3392,2263,2843,1168
2023-12-20,3356,2101,2770,1227
2023-12-21,3459,2033,2868,1100
2023-12-22,3390,1953,2695,1080
2023-12-23,3219,2059,3365,1104
2023-12-24,3409,2345,2853,1254
2023-12-25,3304,2274,2954,1409
2023-12-26,3187,2378,3474,1618
2023-12-27,3270,2123,3487,1543
2023-12-28,3270,2476,3285,1417
2023-12-29,2956,3667,3249,1298
2023-12-30,3035,2901,3223,1701
2023-12-31,3057,2553,3328,2260
2024-01-01,3166,2592,3131,1482
2024-01-02,3549,2653,3518,1410
2024-01-03,3948,2490,3364,1384
2024-01-04,3876,2586,3264,1424
2024-01-05,3571,2461,3192,1454
2024-01-06,3374,2445,3205,1584
2024-01-07,3746,2456,3462,1509
2024-01-08,4111,2516,3493,1421
2024-01-09,4563,2707,3688,1487
2024-01-10,4525,2651,3374,1630
2024-01-11,4537,2688,3524,1747
2024-01-12,4136,2649,3833,1747
2024-01-13,3699,2354,4400,1788
2024-01-14,4142,2362,4326,1837
2024-01-15,5026,2529,4337,1521
2024-01-16,5125,2440,3359,1514
2024-01-17,4969,2472,3242,1684
2024-01-18,5113,2652,3454,1705
2024-01-19,4633,2434,3592,1484
2024-01-20,3833,2290,3274,1462
2024-01-21,4237,2385,4011,1516
2024-01-22,7114,2946,3496,1586
2024-01-23,4955,2825,3484,1546
2024-01-24,4743,2778,3374,1657
2024-01-25,4557,3107,3286,1490
2024-01-26,4204,2617,3131,1465
2024-01-27,3644,2446,3169,1467
2024-01-28,3965,2619,3601,1465
2024-01-29,4504,4593,3815,1505
2024-01-30,4559,7962,3642,1566
2024-01-31,4618,5396,3876,1642
2024-02-01,4161,3741,3940,1689
2024-02-02,4113,3390,3897,1870
2024-02-03,3224,3023,5056,1793
2024-02-04,3415,3086,4321,1777
2024-02-05,4961,3055,3831,1754
2024-02-06,4693,2792,4017,1660
2024-02-07,5627,2590,3895,1643
2024-02-08,5553,2748,3489,1711
2024-02-09,4698,2420,3291,1774
2024-02-10,3462,2378,3083,1654
2024-02-11,3690,2946,4803,1647
2024-02-12,3557,2635,3740,1455
2024-02-13,4261,2265,3448,1486
2024-02-14,4084,2362,3105,1527
2024-02-15,3948,2569,3363,1432
2024-02-16,3538,2379,3570,1365
2024-02-17,3335,2935,3178,1324
2024-02-18,3515,2757,3705,1625
2024-02-19,3856,2750,3731,1525
2024-02-20,4024,2509,3488,1513
2024-02-21,3909,2554,3698,1533
2024-02-22,4046,2554,4269,1492
2024-02-23,3515,2644,3598,1475
