Date,"Anglerfish","Kendrick Lamar"
2025-04-11,1305,10062
2025-04-12,1363,9992
2025-04-13,1345,9610
2025-04-14,1444,9459
2025-04-15,1361,9363
2025-04-16,1547,9292
2025-04-17,1480,9651
2025-04-18,1366,10280
2025-04-19,1340,9742
2025-04-20,1537,11562
2025-04-21,1632,10178
2025-04-22,1473,9665
2025-04-23,1453,9673
2025-04-24,1570,11140
2025-04-25,2113,10084
2025-04-26,5065,9542
2025-04-27,9429,10623
2025-04-28,1923,9627
2025-04-29,1495,9567
2025-04-30,1422,15918
2025-05-01,1318,9865
2025-05-02,1342,9899
2025-05-03,1246,9348
2025-05-04,1345,10792
2025-05-05,1280,10506
2025-05-06,1432,10515
2025-05-07,1255,9323
2025-05-08,1301,9499
2025-05-09,1356,10359
2025-05-10,1365,10250
2025-05-11,1317,8818
2025-05-12,1564,9327
2025-05-13,1496,9942
2025-05-14,1558,9471
2025-05-15,1265,8576
2025-05-16,1159,8556
2025-05-17,1112,8024
2025-05-18,1211,9251
2025-05-19,1346,8435
2025-05-20,1185,8424
2025-05-21,1187,8368
2025-05-22,1202,8636
2025-05-23,1019,8102
2025-05-24,1023,8537
2025-05-25,1185,8756
2025-05-26,1179,8641
2025-05-27,1308,9166
2025-05-28,1328,8604
2025-05-29,1470,8222
2025-05-30,1265,8503
2025-05-31,1102,8087
2025-06-01,1080,7992
2025-06-02,1194,7471
2025-06-03,1482,7395
2025-06-04,1635,7989
2025-06-05,1598,8055
2025-06-06,1501,8277
2025-06-07,1332,8535
2025-06-08,1367,7492
2025-06-09,1338,7185
2025-06-10,1298,11136
2025-06-11,1217,9286
2025-06-12,1104,8633
2025-06-13,949,9192
2025-06-14,1075,8573
2025-06-15,1109,8130
2025-06-16,1234,8886
2025-06-17,1193,11680
2025-06-18,985,8604
2025-06-19,1042,7966
2025-06-20,1072,7115
2025-06-21,1082,6733
2025-06-22,1001,6515
2025-06-23,1035,6034
2025-06-24,1042,6072
2025-06-25,1027,6259
2025-06-26,1421,9279
2025-06-27,1177,7330
2025-06-28,1220,7116
2025-06-29,1345,6594
2025-06-30,1138,6170
2025-07-01,1128,6288
2025-07-02,981,6530
2025-07-03,1808,6469
2025-07-04,1188,6984
2025-07-05,1324,6921
2025-07-06,1364,7027
2025-07-07,1176,7187
2025-07-08,1089,8384
2025-07-09,1318,8134
2025-07-10,1201,8323
2025-07-11,1155,9196
2025-07-12,1157,7958
2025-07-13,1190,8319
2025-07-14,1084,7711
2025-07-15,1055,7698
2025-07-16,1066,8439
2025-07-17,1029,7643
2025-07-18,1012,7273
2025-07-19,1053,8345
